circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:135631431|135639193	chr9	135631431	135639193	4	2_4_2	0	1.00	exon	ENSG00000204007.8	-	simulate:477706,simulate:477708,simulate:477707,simulate:477709	4
chr9:135694387|135695263	chr9	135694387	135695263	8	5_5_1	1	0.94	exon	ENSG00000165643.11	-	simulate:485479,simulate:485476,simulate:485477,simulate:485474,simulate:485475,simulate:485473,simulate:485481,simulate:485480	4
chr9:135945889|135953753	chr9	135945889	135953753	10	7_6_2	6	0.77	exon	ENSG00000130560.9	-	simulate:498445,simulate:498448,simulate:498447,simulate:498453,simulate:498442,simulate:498441,simulate:498443,simulate:498440,simulate:498451,simulate:498450	5
chr9:136365141|136366845	chr9	136365141	136366845	5	3_0_5	7	0.59	exon	ENSG00000187796.16	-	simulate:491415,simulate:491416,simulate:491413,simulate:491414,simulate:491412	3
chr9:136367637|136370701	chr9	136367637	136370701	10	10_8_0	11	0.65	exon	ENSG00000187796.16	-	simulate:482687,simulate:482688,simulate:482666,simulate:482671,simulate:482652,simulate:482651,simulate:482670,simulate:482679,simulate:482657,simulate:482659	6
chr9:136447569|136451408	chr9	136447569	136451408	3	3_1_0	6	0.50	exon	ENSG00000148396.19	-	simulate:483338,simulate:483333,simulate:483339	1
chr9:136744640|136745280	chr9	136744640	136745280	7	3_6_0	13	0.52	exon	ENSG00000267206.6	-	simulate:487339,simulate:487338,simulate:487335,simulate:487334,simulate:487343,simulate:487341,simulate:487340	1
chr9:136806385|136807202	chr9	136806385	136807202	2	2_2_0	9	0.31	exon	ENSG00000228544.1	-	simulate:495869,simulate:495870	2
chr9:136849111|136850137	chr9	136849111	136850137	6	4_6_0	1	0.92	exon	ENSG00000054148.18	+	simulate:510481,simulate:510505,simulate:510489,simulate:510497,simulate:510487,simulate:510495	4
chr9:136863288|136863871	chr9	136863288	136863871	6	4_2_3	0	1.00	exon	ENSG00000107223.13	-	simulate:485188,simulate:485189,simulate:485187,simulate:485193,simulate:485191,simulate:485192	3
chr9:136979223|136980855	chr9	136979223	136980855	7	4_1_6	1	0.93	exon	ENSG00000284341.1	+	simulate:485459,simulate:485468,simulate:485466,simulate:485464,simulate:485461,simulate:485470,simulate:485460	4
chr9:136994930|136995567	chr9	136994930	136995567	7	6_5_0	0	1.00	exon	ENSG00000169583.13	-	simulate:512592,simulate:512588,simulate:512587,simulate:512598,simulate:512597,simulate:512596,simulate:512585	4
chr9:137039971|137040436	chr9	137039971	137040436	6	5_6_0	17	0.41	exon	ENSG00000107281.10	-	simulate:476720,simulate:476715,simulate:476716,simulate:476717,simulate:476718,simulate:476719	5
chr9:137050284|137051370	chr9	137050284	137051370	5	3_5_0	6	0.63	exon	ENSG00000054179.12	-	simulate:504284,simulate:504282,simulate:504274,simulate:504275,simulate:504278	3
chr9:137232575|137233404	chr9	137232575	137233404	4	4_3_0	17	0.32	exon	ENSG00000198569.10	+	simulate:512274,simulate:512271,simulate:512279,simulate:512266	3
chr9:137430784|137433864	chr9	137430784	137433864	7	3_7_2	1	0.93	exon	ENSG00000188747.9	+	simulate:490018,simulate:490007,simulate:490016,simulate:490010,simulate:490011,simulate:490014,simulate:490012	5
chr9:137436869|137438305	chr9	137436869	137438305	4	3_4_0	14	0.36	exon	ENSG00000188833.10	-	simulate:485302,simulate:485301,simulate:485295,simulate:485291	2
chr9:137540642|137543815	chr9	137540642	137543815	6	5_6_0	0	1.00	exon	ENSG00000130653.16	-	simulate:500731,simulate:500720,simulate:500723,simulate:500724,simulate:500725,simulate:500717	5
chr9:137754171|137778055	chr9	137754171	137778055	5	5_4_0	0	1.00	exon	ENSG00000181090.21	+	simulate:490304,simulate:490302,simulate:490295,simulate:490300,simulate:490310	4
chr9:138043774|138058250	chr9	138043774	138058250	7	6_6_0	11	0.56	exon	ENSG00000148408.14	+	simulate:503390,simulate:503392,simulate:503384,simulate:503394,simulate:503383,simulate:503399,simulate:503404	5
