circRNA_ID	gene_id
chr3:35681714|35682889	ENSG00000172995.17
chr3:36482992|36485058	ENSG00000144681.11
chr3:36721527|36739084	ENSG00000163673.8
chr3:37066224|37075116	ENSG00000093167.18
chr3:37154614|37174605	ENSG00000093167.18
chr3:37503178|37513900	ENSG00000144668.12
chr3:38001456|38001860	ENSG00000136059.16
chr3:38001702|38004399	ENSG00000136059.16
chr3:38009653|38010275	ENSG00000187091.14
chr3:38139864|38140549	ENSG00000172936.16
chr3:38274604|38275672	ENSG00000172940.13
chr3:38370056|38375259	ENSG00000093217.11
chr3:38477861|38479826	ENSG00000114739.14
chr3:38498926|38501494	ENSG00000157036.13
chr3:39063050|39066630	ENSG00000114742.14
chr3:39063050|39065889	ENSG00000114742.14
chr3:39065791|39066630	ENSG00000114742.14
chr3:39100747|39102881	ENSG00000114745.15
chr3:39144997|39146722	ENSG00000144655.15
chr3:39502535|39513606	ENSG00000168314.19
chr3:40083688|40117736	ENSG00000280739.4
chr3:40248184|40301396	ENSG00000280739.4
chr3:40399474|40451782	ENSG00000223797.7
chr3:40524983|40525864	ENSG00000172888.12
chr3:41911541|41932006	ENSG00000168038.11
chr3:42264697|42265437	ENSG00000187094.12
chr3:42406846|42407324	ENSG00000157093.9
chr3:42406846|42407343	ENSG00000157093.9
chr3:42521477|42528658	ENSG00000232354.8
chr3:42525887|42530932	ENSG00000114812.13
chr3:42527396|42531531	ENSG00000114812.13
chr3:42661485|42661632	ENSG00000114853.15
chr3:42688142|42688717	ENSG00000157119.12
chr3:42698708|42700839	ENSG00000010282.15
chr3:42699758|42700839	ENSG00000010282.15
chr3:42713162|42732922	ENSG00000285539.1
chr3:43303098|43332310	ENSG00000163788.14
chr3:43600384|43605863	ENSG00000160746.13
chr3:43702215|43711863	ENSG00000011198.10
chr3:44270685|44290886	ENSG00000173769.4
chr3:44270685|44304081	ENSG00000173769.4
chr3:44281968|44304081	ENSG00000173769.4
chr3:44428045|44428624	ENSG00000283036.3
chr3:44451314|44455696	ENSG00000185219.18
chr3:44933888|44945292	ENSG00000163812.15
chr3:44989550|45005414	ENSG00000075914.13
chr3:45093277|45112445	ENSG00000163814.8
chr3:45665650|45672820	ENSG00000144791.10
chr3:45936448|45955393	ENSG00000163820.16
chr3:46421373|46422798	ENSG00000283646.2
chr3:46448863|46455978	ENSG00000012223.13
chr3:46659035|46660276	ENSG00000286570.1
chr3:46715535|46717637	ENSG00000283706.2
chr3:46715535|46748651	ENSG00000206549.13
chr3:46717437|46748651	ENSG00000206549.13
chr3:46744643|46748651	ENSG00000284672.1
chr3:46748625|46756629	ENSG00000206549.13
chr3:46754488|46756198	ENSG00000286651.2
chr3:46755410|46756198	ENSG00000286651.2
chr3:46811106|46811873	ENSG00000226074.5
chr3:46832947|46833676	ENSG00000178055.13
chr3:46858384|46860825	ENSG00000160808.11
chr3:46895735|46898857	ENSG00000160801.14
chr3:46998959|47002288	ENSG00000160796.18
chr3:47231767|47238569	ENSG00000227398.5
chr3:47264286|47267263	ENSG00000088727.14
chr3:47407130|47409087	ENSG00000076201.16
chr3:47419328|47422536	ENSG00000114650.21
chr3:47504330|47511226	ENSG00000163832.16
chr3:47572686|47577928	ENSG00000114646.10
chr3:47678198|47706530	ENSG00000173473.11
chr3:47678198|47701402	ENSG00000173473.11
chr3:47805326|47810711	ENSG00000132153.15
chr3:47867246|47877523	ENSG00000047849.22
chr3:47870813|47872100	ENSG00000047849.22
chr3:48296727|48298523	ENSG00000172113.10
chr3:48321025|48329274	ENSG00000229453.3
chr3:48321025|48328354	ENSG00000229453.3
chr3:48373548|48379558	ENSG00000164049.14
chr3:48410296|48411036	ENSG00000164050.13
chr3:48457259|48460799	ENSG00000164053.22
chr3:48459359|48460799	ENSG00000164053.22
chr3:48535533|48539310	ENSG00000114268.12
chr3:48600975|48604431	ENSG00000010256.11
chr3:48647841|48651075	ENSG00000008300.17
chr3:48679801|48680229	ENSG00000213672.8
chr3:48682348|48683012	ENSG00000213672.8
chr3:48765248|48790627	ENSG00000114302.16
chr3:48922748|48927813	ENSG00000177479.20
chr3:48990833|49001562	ENSG00000178467.18
chr3:49014210|49014499	ENSG00000178252.19
chr3:49022346|49022768	ENSG00000178057.15
chr3:49026324|49027047	ENSG00000178035.13
chr3:49098600|49098989	ENSG00000172053.18
chr3:49113992|49115639	ENSG00000172046.20
chr3:49302384|49327816	ENSG00000114316.13
chr3:49324894|49327816	ENSG00000114316.13
chr3:49325719|49327816	ENSG00000114316.13
chr3:49419710|49425438	ENSG00000283189.2
chr3:49426252|49429326	ENSG00000145029.14
chr3:49675891|49676700	ENSG00000164062.13
chr3:49675891|49676817	ENSG00000164062.13
chr3:49687149|49687478	ENSG00000173531.16
chr3:49691130|49691509	ENSG00000164068.16
chr3:49722596|49723114	ENSG00000173540.14
chr3:49732791|49738422	ENSG00000176095.12
chr3:49810263|49811455	ENSG00000182179.13
chr3:49831916|49847608	ENSG00000183763.9
chr3:49895961|49896890	ENSG00000164078.14
chr3:49911526|49913359	ENSG00000164077.15
chr3:50057728|50061547	ENSG00000004534.15
chr3:50193133|50193406	ENSG00000114349.10
chr3:50253024|50256852	ENSG00000114353.17
chr3:50273298|50274057	ENSG00000012171.20
chr3:50273346|50275459	ENSG00000012171.20
chr3:50274363|50274934	ENSG00000012171.20
chr3:50289255|50290294	ENSG00000214706.12
chr3:50332050|50340841	ENSG00000068028.18
chr3:50332050|50338011	ENSG00000068028.18
chr3:50343118|50345236	ENSG00000004838.14
chr3:50375644|50377803	ENSG00000007402.12
chr3:50561722|50565861	ENSG00000088543.15
chr3:50570931|50571801	ENSG00000114735.10
chr3:50572115|50577875	ENSG00000114735.10
chr3:50640366|50645785	ENSG00000114738.11
chr3:51246726|51312079	ENSG00000088538.13
chr3:51260156|51312576	ENSG00000088538.13
chr3:51674271|51684634	ENSG00000164081.13
chr3:51817970|51829493	ENSG00000285749.2
chr3:51826883|51829306	ENSG00000229972.9
chr3:51902790|51903089	ENSG00000173389.16
chr3:51935592|51937318	ENSG00000114767.7
chr3:51935592|51937586	ENSG00000114767.7
chr3:51944390|51945644	ENSG00000041880.15
chr3:51944778|51945939	ENSG00000041880.15
chr3:51960189|51961033	ENSG00000090097.22
chr3:51978259|51985946	ENSG00000114786.16
chr3:52203863|52206751	ENSG00000023330.15
chr3:52230870|52232122	ENSG00000247596.10
chr3:52230870|52231539	ENSG00000247596.10
chr3:52231127|52235106	ENSG00000247596.10
chr3:52231444|52232122	ENSG00000247596.10
chr3:52246695|52248453	ENSG00000164088.18
chr3:52270712|52284591	ENSG00000164091.12
chr3:52290960|52292569	ENSG00000168237.18
chr3:52412811|52414048	ENSG00000010318.22
chr3:52441574|52442304	ENSG00000010319.7
chr3:52480879|52484637	ENSG00000010322.16
chr3:52513717|52516238	ENSG00000010327.10
chr3:52603521|52634815	ENSG00000163939.18
chr3:52609313|52629035	ENSG00000163939.18
chr3:52689074|52691629	ENSG00000163938.17
chr3:52697721|52700360	ENSG00000016864.19
chr3:52746061|52752336	ENSG00000114904.13
chr3:52806293|52807105	ENSG00000162267.13
chr3:52820991|52824315	ENSG00000243696.5
chr3:52823823|52826651	ENSG00000243696.5
chr3:52824190|52826651	ENSG00000243696.5
chr3:52844829|52855444	ENSG00000213533.13
chr3:52849792|52855444	ENSG00000213533.13
chr3:53183121|53186027	ENSG00000163932.15
chr3:53229280|53233274	ENSG00000163931.17
chr3:53230457|53235174	ENSG00000163931.17
chr3:53292069|53342271	ENSG00000272886.6
chr3:53342144|53344936	ENSG00000272886.6
chr3:53840929|53844769	ENSG00000016391.11
chr3:53849655|53856986	ENSG00000056736.10
chr3:53849655|53855341	ENSG00000056736.10
chr3:53851999|53855341	ENSG00000056736.10
chr3:53878357|53880109	ENSG00000113812.14
chr3:54038431|54053338	ENSG00000288029.1
chr3:54838568|54885326	ENSG00000157445.15
chr3:54878688|54896958	ENSG00000243715.1
chr3:55497389|55501782	ENSG00000242317.1
chr3:56633044|56648893	ENSG00000163946.14
chr3:56646522|56661017	ENSG00000163946.14
chr3:57035088|57079265	ENSG00000163947.12
chr3:57198391|57198952	ENSG00000163666.10
chr3:57235566|57237551	ENSG00000157500.12
chr3:57429691|57446689	ENSG00000174844.15
chr3:57502323|57509212	ENSG00000174844.15
chr3:57583898|57584464	ENSG00000168374.11
chr3:57641653|57657735	ENSG00000174839.13
chr3:57645661|57646438	ENSG00000174839.13
chr3:57661446|57663716	ENSG00000174839.13
chr3:58123093|58141929	ENSG00000136068.16
chr3:58197821|58204881	ENSG00000163687.14
chr3:58197821|58208306	ENSG00000163687.14
chr3:58310290|58316591	ENSG00000163684.12
chr3:58310507|58316591	ENSG00000255154.9
chr3:58410090|58412963	ENSG00000168297.16
chr3:58430657|58431793	ENSG00000168291.13
chr3:58431877|58433684	ENSG00000168291.13
chr3:58645509|58655601	ENSG00000198643.7
chr3:58869328|58884709	ENSG00000163689.21
chr3:62491339|62492446	ENSG00000163618.18
chr3:62952007|63122319	ENSG00000244342.5
chr3:62985036|63106422	ENSG00000244342.5
chr3:63426713|63444339	ENSG00000241359.1
chr3:63827601|63831223	ENSG00000163632.15
chr3:63838372|63839773	ENSG00000163634.12
chr3:63839656|63846217	ENSG00000163634.12
chr3:63864499|63864999	ENSG00000163635.20
chr3:64561322|64582646	ENSG00000241158.7
chr3:64654572|64686968	ENSG00000163638.13
chr3:65391142|65440012	ENSG00000151276.24
chr3:65391142|65437247	ENSG00000151276.24
chr3:66414920|66417266	ENSG00000144749.14
chr3:68247360|68247805	ENSG00000183662.12
chr3:68913601|68916214	ENSG00000163377.16
chr3:68988506|69001714	ENSG00000163378.14
chr3:68998011|69005234	ENSG00000163378.14
chr3:69056779|69062179	ENSG00000144744.17
chr3:69061814|69063503	ENSG00000144744.17
chr3:69118699|69122409	ENSG00000163380.16
chr3:69937822|69949168	ENSG00000187098.18
chr3:70972555|70977042	ENSG00000285708.1
chr3:71015549|71112637	ENSG00000285708.1
chr3:71046942|71112637	ENSG00000285708.1
chr3:71292517|71296507	ENSG00000244203.2
chr3:71693875|71710484	ENSG00000163412.13
chr3:72061896|72067202	ENSG00000273461.5
chr3:72817230|72841199	ENSG00000144736.14
chr3:73391018|73404395	ENSG00000121440.15
chr3:74301398|74365702	ENSG00000113805.9
chr3:74302690|74486631	ENSG00000113805.9
chr3:75336099|75337240	ENSG00000228868.3
chr3:75741610|75783364	ENSG00000227124.11
chr3:77596623|77607954	ENSG00000185008.18
chr3:80771370|80788969	ENSG00000242781.2
chr3:80780093|80784117	ENSG00000242781.2
chr3:81593908|81648991	ENSG00000114480.13
chr3:82042725|82202454	ENSG00000239440.6
chr3:85805454|85828050	ENSG00000241648.1
chr3:87240699|87249977	ENSG00000083937.10
chr3:87682406|87731750	ENSG00000239572.3
chr3:88058019|88141078	ENSG00000163320.12
chr3:93896576|93905915	ENSG00000184500.16
chr3:94039880|94043240	ENSG00000169379.17
chr3:97479294|97610854	ENSG00000080224.18
chr3:97479294|97559661	ENSG00000080224.18
chr3:97768081|97785049	ENSG00000113966.10
chr3:97840656|97874296	ENSG00000279658.1
chr3:98008956|98025679	ENSG00000183185.10
chr3:98518885|98521442	ENSG00000080822.17
chr3:98562324|98581511	ENSG00000285635.1
chr3:98588713|98590742	ENSG00000080819.9
chr3:98770879|98772916	ENSG00000064225.13
chr3:98904893|99018122	ENSG00000239462.1
chr3:99929856|99931030	ENSG00000168386.19
chr3:100160430|100167840	ENSG00000184220.12
chr3:100296172|100304888	ENSG00000036054.13
chr3:100339087|100341161	ENSG00000114021.12
chr3:100341073|100348881	ENSG00000114021.12
chr3:100519462|100558589	ENSG00000181458.10
chr3:100555209|100558589	ENSG00000181458.10
chr3:100850660|100862385	ENSG00000154175.18
chr3:101245802|101269573	ENSG00000081148.12
chr3:101253696|101269573	ENSG00000081148.12
chr3:101331985|101366769	ENSG00000138468.16
chr3:101341646|101364991	ENSG00000138468.16
chr3:101682771|101685928	ENSG00000114391.13
chr3:101731840|101732654	ENSG00000182504.11
chr3:101779734|101782290	ENSG00000144815.17
chr3:101782110|101785689	ENSG00000144815.17
chr3:101853091|101855208	ENSG00000144802.11
chr3:101853091|101855458	ENSG00000144802.11
chr3:102452919|102462378	ENSG00000170044.9
chr3:102456193|102464251	ENSG00000170044.9
chr3:105532002|105533690	ENSG00000170017.12
chr3:106178501|106202583	ENSG00000287421.1
chr3:106414500|106425041	ENSG00000286854.1
chr3:106417534|106425041	ENSG00000286854.1
chr3:107778371|107789876	ENSG00000114439.19
chr3:107853873|107873026	ENSG00000241469.9
chr3:108058337|108060852	ENSG00000196776.17
chr3:108206628|108218653	ENSG00000114446.5
chr3:108444640|108460367	ENSG00000144821.11
chr3:108603019|108605438	ENSG00000198919.13
chr3:108625845|108634972	ENSG00000198919.13
chr3:108745431|108756588	ENSG00000163515.7
chr3:108822772|108838967	ENSG00000163519.14
chr3:109032720|109062058	ENSG00000114487.10
chr3:109308032|109312692	ENSG00000163530.4
chr3:109308032|109314555	ENSG00000163530.4
chr3:111545046|111598210	ENSG00000153283.13
chr3:111981784|111986375	ENSG00000144827.9
chr3:111999326|112000946	ENSG00000144834.14
chr3:112044255|112045943	ENSG00000176040.13
chr3:112047739|112061923	ENSG00000176040.13
chr3:112093360|112109613	ENSG00000114529.13
chr3:112102838|112113145	ENSG00000114529.13
chr3:112326522|112327694	ENSG00000239482.6
chr3:112340902|112349819	ENSG00000091972.18
chr3:112541803|112550262	ENSG00000144848.11
chr3:112563385|112570670	ENSG00000138459.9
chr3:112569171|112570670	ENSG00000138459.9
chr3:112928816|112947924	ENSG00000163606.11
chr3:112928816|112931171	ENSG00000163606.11
chr3:112995135|112996991	ENSG00000163607.18
chr3:113013949|113017602	ENSG00000163608.15
chr3:113278673|113280663	ENSG00000144857.15
chr3:113408172|113427608	ENSG00000243849.2
chr3:113427187|113446676	ENSG00000285943.1
chr3:113465653|113489063	ENSG00000163611.11
chr3:113784696|113789840	ENSG00000114573.10
chr3:114010772|114036786	ENSG00000163617.11
chr3:114139500|114172027	ENSG00000151577.13
chr3:114159755|114178776	ENSG00000151577.13
chr3:114366967|114367221	ENSG00000241560.7
chr3:115205241|115240372	ENSG00000242880.2
chr3:115852483|116019640	ENSG00000185565.12
chr3:119224058|119235227	ENSG00000121578.13
chr3:119224058|119237070	ENSG00000121578.13
chr3:119235145|119237070	ENSG00000121578.13
chr3:119380904|119393591	ENSG00000031081.11
chr3:119609468|119616101	ENSG00000144837.9
chr3:119648260|119654613	ENSG00000121577.14
chr3:120181125|120193424	ENSG00000175697.11
chr3:120650774|120675863	ENSG00000113924.12
chr3:120706000|120709909	ENSG00000144840.10
chr3:120847768|120854680	ENSG00000287366.1
chr3:120872177|120888245	ENSG00000286827.1
chr3:121233616|121255112	ENSG00000145087.13
chr3:121633067|121636489	ENSG00000180353.11
chr3:121807344|121828632	ENSG00000173226.17
chr3:121836645|121844547	ENSG00000145088.9
chr3:121854687|121872788	ENSG00000145088.9
chr3:121915227|121915693	ENSG00000163406.11
chr3:121922220|121924383	ENSG00000163406.11
chr3:122257081|122276042	ENSG00000036828.17
chr3:122368176|122371800	ENSG00000160124.9
chr3:122451534|122457848	ENSG00000114030.13
chr3:122463942|122467429	ENSG00000114030.13
chr3:122545432|122556121	ENSG00000138496.17
chr3:122550584|122558467	ENSG00000138496.17
chr3:122565859|122570024	ENSG00000163840.10
chr3:122610494|122621611	ENSG00000173200.13
chr3:122619781|122621611	ENSG00000173200.13
chr3:122704527|122713934	ENSG00000173193.15
chr3:122826800|122856374	ENSG00000138463.9
chr3:122833317|122856374	ENSG00000138463.9
chr3:122911491|122912069	ENSG00000082684.16
chr3:122961140|123027233	ENSG00000082684.16
chr3:123089168|123092442	ENSG00000065485.20
chr3:123154971|123161455	ENSG00000065485.20
chr3:123223559|123246014	ENSG00000121542.12
chr3:123314235|123325462	ENSG00000173175.15
chr3:124462524|124492882	ENSG00000160145.16
chr3:124809022|124821474	ENSG00000082781.12
chr3:124809022|124841551	ENSG00000082781.12
chr3:124923527|124927600	ENSG00000173702.7
chr3:125002257|125010555	ENSG00000173706.14
chr3:125107481|125118856	ENSG00000221955.11
chr3:125110189|125118856	ENSG00000221955.11
chr3:125497341|125504744	ENSG00000114520.11
chr3:125560379|125576365	ENSG00000144909.8
chr3:125931638|125933389	ENSG00000189366.11
chr3:126067486|126068246	ENSG00000114544.17
chr3:126130223|126137960	ENSG00000144908.14
chr3:126395325|126396049	ENSG00000163885.12
chr3:126418611|126423644	ENSG00000163885.12
chr3:126461270|126472051	ENSG00000070476.15
chr3:126471973|126475865	ENSG00000070476.15
chr3:126663330|126666301	ENSG00000198284.9
chr3:127014478|127017664	ENSG00000114554.12
chr3:127606610|127615955	ENSG00000073111.14
chr3:127619027|127620880	ENSG00000073111.14
chr3:127639245|127668597	ENSG00000114631.11
chr3:127660378|127662311	ENSG00000114631.11
chr3:127660378|127668597	ENSG00000114631.11
chr3:127677676|127677843	ENSG00000114626.18
chr3:127722430|127821838	ENSG00000074416.16
chr3:128082483|128087808	ENSG00000175792.12
chr3:128483860|128487076	ENSG00000179348.13
chr3:128795360|128798069	ENSG00000075785.14
chr3:128899287|128904505	ENSG00000177646.20
chr3:128978045|128988918	ENSG00000114656.13
chr3:129134832|129156675	ENSG00000240682.10
chr3:129140368|129156920	ENSG00000240682.10
chr3:129318543|129323604	ENSG00000206417.8
chr3:129411158|129415401	ENSG00000172771.12
chr3:129479785|129495607	ENSG00000163913.14
chr3:129569843|129572748	ENSG00000004399.13
chr3:130221789|130233508	ENSG00000228252.9
chr3:130455455|130469481	ENSG00000172752.15
chr3:130586506|130591094	ENSG00000206384.11
chr3:130681491|130684381	ENSG00000196455.8
chr3:130684250|130686422	ENSG00000196455.8
chr3:130705561|130723587	ENSG00000196455.8
chr3:130996753|130997753	ENSG00000017260.20
chr3:131018506|131025331	ENSG00000034533.12
chr3:131024005|131025594	ENSG00000034533.12
chr3:131329966|131330867	ENSG00000250608.2
chr3:131487680|131500521	ENSG00000114686.9
chr3:131564216|131669764	ENSG00000196353.13
chr3:132328267|132332344	ENSG00000014257.16
chr3:132618634|132630558	ENSG00000274810.4
chr3:132682703|132683524	ENSG00000113971.21
chr3:132726361|132727582	ENSG00000248724.6
chr3:133448781|133455463	ENSG00000249993.1
chr3:133623091|133623457	ENSG00000163781.14
chr3:133688192|133701053	ENSG00000242337.6
chr3:133806609|133811199	ENSG00000144867.13
chr3:133807746|133811199	ENSG00000144867.13
chr3:133839506|133864642	ENSG00000154917.11
chr3:133973663|133979618	ENSG00000174640.15
chr3:134188837|134202874	ENSG00000163785.13
chr3:134531845|134545819	ENSG00000288700.2
chr3:134532778|134546288	ENSG00000288700.2
chr3:134625053|134627818	ENSG00000174611.12
chr3:134625053|134643378	ENSG00000174611.12
chr3:135154152|135167006	ENSG00000154928.19
chr3:135379781|135439864	ENSG00000240086.7
chr3:136040859|136070552	ENSG00000073711.11
chr3:136070478|136087931	ENSG00000073711.11
chr3:136473539|136521417	ENSG00000118007.13
chr3:136568765|136630981	ENSG00000118007.13
chr3:136858518|136862049	ENSG00000239213.7
chr3:136982160|136995556	ENSG00000174564.13
chr3:137774528|137775350	ENSG00000239513.6
chr3:138023658|138029907	ENSG00000066405.13
chr3:138023658|138024724	ENSG00000066405.13
chr3:138167081|138174859	ENSG00000138231.13
chr3:138221926|138235114	ENSG00000114098.18
chr3:138306398|138318219	ENSG00000181322.15
chr3:138314332|138318219	ENSG00000181322.15
chr3:138314332|138319581	ENSG00000181322.15
chr3:138319478|138324930	ENSG00000181322.15
chr3:138397324|138400613	ENSG00000158186.13
chr3:138452048|138457644	ENSG00000158220.14
chr3:138525490|138537347	ENSG00000114107.9
chr3:138537178|138571157	ENSG00000114107.9
chr3:139348160|139351060	ENSG00000175110.14
chr3:139368145|139373808	ENSG00000184432.11
chr3:139383298|139385200	ENSG00000184432.11
chr3:139423016|139577850	ENSG00000248932.7
chr3:140403629|140448704	ENSG00000158258.16
chr3:140453219|140454418	ENSG00000249290.5
chr3:140682462|140688542	ENSG00000155890.4
chr3:140959463|140968730	ENSG00000114120.14
chr3:141559894|141574067	ENSG00000155903.14
chr3:141666780|141686017	ENSG00000242104.5
chr3:141681485|141690527	ENSG00000242104.5
chr3:141774580|141778896	ENSG00000114124.3
chr3:141902136|141903748	ENSG00000069849.11
chr3:142627816|142645580	ENSG00000120756.13
chr3:142676157|142686376	ENSG00000120756.13
chr3:142777632|142791158	ENSG00000144935.16
chr3:143023975|143028646	ENSG00000163714.18
chr3:146201035|146222092	ENSG00000114698.15
chr3:146220815|146222092	ENSG00000114698.15
chr3:146401360|146415167	ENSG00000241358.1
chr3:146454002|146460083	ENSG00000163746.13
chr3:146525605|146536565	ENSG00000188313.13
chr3:146593920|146600463	ENSG00000231213.7
chr3:147395852|147402812	ENSG00000174963.18
chr3:148041635|148042307	ENSG00000285798.1
chr3:148207846|148210088	ENSG00000243347.2
chr3:148288935|148312252	ENSG00000242440.2
chr3:148840686|148844588	ENSG00000153002.12
chr3:148869948|148911352	ENSG00000240521.1
chr3:148878441|148881632	ENSG00000163751.4
chr3:149059718|149060687	ENSG00000071794.16
chr3:149153494|149158846	ENSG00000163755.9
chr3:149153494|149160279	ENSG00000163755.9
chr3:149324880|149330419	ENSG00000163762.7
chr3:149324880|149333399	ENSG00000163762.7
chr3:149330330|149333399	ENSG00000163762.7
chr3:149542335|149573000	ENSG00000018408.15
chr3:149780321|149790896	ENSG00000206199.11
chr3:149822518|149846140	ENSG00000082996.20
chr3:149852516|149902162	ENSG00000082996.20
chr3:150224237|150225000	ENSG00000241048.1
chr3:150680773|150686021	ENSG00000163645.15
chr3:150890320|150894305	ENSG00000260234.5
chr3:150890938|150905089	ENSG00000260234.5
chr3:150890938|150893415	ENSG00000260234.5
chr3:151062643|151065076	ENSG00000239265.5
chr3:151156161|151164042	ENSG00000144893.13
chr3:151751443|151917741	ENSG00000242908.6
chr3:152414941|152446757	ENSG00000152601.18
chr3:153882357|153920415	ENSG00000243486.1
chr3:155138102|155144457	ENSG00000196549.13
chr3:155833468|155842619	ENSG00000169359.16
chr3:155833468|155834041	ENSG00000169359.16
chr3:156217977|156227883	ENSG00000240596.1
chr3:156457453|156465686	ENSG00000169282.18
chr3:156942529|156992730	ENSG00000197980.14
chr3:157150282|157152241	ENSG00000163660.12
chr3:157152177|157153156	ENSG00000163660.12
chr3:157213544|157239799	ENSG00000243176.7
chr3:158102678|158105125	ENSG00000168779.21
chr3:158593382|158598208	ENSG00000178053.20
chr3:158596862|158598208	ENSG00000178053.20
chr3:158669433|158671019	ENSG00000079257.8
chr3:159245843|159252799	ENSG00000283154.3
chr3:159245843|159252807	ENSG00000214216.11
chr3:159886207|159887905	ENSG00000151967.18
chr3:159990167|159993125	ENSG00000168811.7
chr3:159993012|159993492	ENSG00000168811.7
chr3:159994237|160025534	ENSG00000244040.7
chr3:160019137|160020744	ENSG00000242107.2
chr3:160282478|160307781	ENSG00000068885.15
chr3:160285804|160307781	ENSG00000068885.15
chr3:160401915|160412084	ENSG00000113810.16
chr3:160401990|160404504	ENSG00000113810.16
chr3:160882237|160961910	ENSG00000163590.14
chr3:161103427|161104406	ENSG00000169255.15
chr3:161221994|161225064	ENSG00000169251.13
chr3:163207643|163249374	ENSG00000241369.6
chr3:163220101|163278603	ENSG00000241369.6
chr3:165786145|165831041	ENSG00000114200.10
chr3:167248608|167252211	ENSG00000169064.13
chr3:167379638|167380405	ENSG00000169064.13
chr3:167695596|167697126	ENSG00000114209.15
chr3:167790372|167794824	ENSG00000163536.13
chr3:167888860|167905952	ENSG00000244227.8
chr3:167888860|167903450	ENSG00000244227.8
chr3:167895887|167927408	ENSG00000244706.4
chr3:167895936|167912904	ENSG00000244227.8
chr3:169102060|169121209	ENSG00000085276.19
chr3:169463944|169467100	ENSG00000241479.1
chr3:169774265|169780749	ENSG00000085274.16
chr3:169854813|169856872	ENSG00000114248.10
chr3:169919458|169925136	ENSG00000187033.9
chr3:169919458|169927181	ENSG00000187033.9
chr3:169921214|169927181	ENSG00000187033.9
chr3:169969287|169975716	ENSG00000008952.17
chr3:169982707|169985865	ENSG00000008952.17
chr3:170122591|170145521	ENSG00000173889.16
chr3:170172557|170178938	ENSG00000173889.16
chr3:170293383|170295990	ENSG00000163558.13
chr3:170381244|170390464	ENSG00000136603.14
chr3:170423163|170432781	ENSG00000013297.12
chr3:170498667|170501345	ENSG00000013293.6
chr3:170906989|170907841	ENSG00000163577.8
chr3:171002576|171007263	ENSG00000163581.14
chr3:171110714|171140509	ENSG00000154310.17
chr3:171733444|171735637	ENSG00000075651.17
chr3:172307363|172335082	ENSG00000075420.13
chr3:172925346|173019575	ENSG00000144962.7
chr3:173213210|173259813	ENSG00000237473.2
chr3:173259695|173260549	ENSG00000237473.2
chr3:174458514|174536683	ENSG00000177694.16
chr3:176656550|176853768	ENSG00000223715.3
chr3:177629417|177651630	ENSG00000228221.6
chr3:177683627|177685014	ENSG00000228561.2
chr3:178807343|178825758	ENSG00000275163.1
chr3:179030880|179067809	ENSG00000172667.11
chr3:179364297|179377168	ENSG00000171109.19
chr3:179414885|179420927	ENSG00000114450.11
chr3:179576217|179580701	ENSG00000136518.17
chr3:179598675|179601790	ENSG00000136522.14
chr3:179607758|179617044	ENSG00000136521.13
chr3:179706934|179730709	ENSG00000058056.10
chr3:179745043|179757078	ENSG00000058056.10
chr3:180737493|180751410	ENSG00000285336.1
chr3:180748246|180782124	ENSG00000285336.1
chr3:180751348|180847624	ENSG00000285336.1
chr3:180935138|180947936	ENSG00000114416.18
chr3:180951298|180957928	ENSG00000114416.18
chr3:181420272|181438699	ENSG00000241231.2
chr3:181421728|181438699	ENSG00000241231.2
chr3:181971832|181972513	ENSG00000242512.9
chr3:182644468|182645024	ENSG00000238837.3
chr3:182820260|182836142	ENSG00000058063.16
chr3:182859162|182869331	ENSG00000058063.16
chr3:182961226|182965753	ENSG00000043093.15
chr3:183041567|183071120	ENSG00000078070.14
chr3:183072366|183094605	ENSG00000078070.14
chr3:183452078|183454093	ENSG00000240024.6
chr3:183499590|183528010	ENSG00000172578.12
chr3:183844231|183868060	ENSG00000175193.14
chr3:183862753|183868060	ENSG00000175193.14
chr3:183989226|184014447	ENSG00000114770.17
chr3:184055312|184058587	ENSG00000178084.2
chr3:184100485|184105427	ENSG00000186038.9
chr3:184165422|184166975	ENSG00000161202.20
chr3:184188929|184189757	ENSG00000161204.12
chr3:184245198|184245615	ENSG00000214160.10
chr3:184283785|184287947	ENSG00000145194.19
chr3:184303320|184306495	ENSG00000175166.17
chr3:184325269|184326629	ENSG00000114867.22
chr3:184363226|184365049	ENSG00000163882.10
chr3:184375515|184376015	ENSG00000090534.20
chr3:184381080|184381815	ENSG00000090539.15
chr3:184715031|184734240	ENSG00000272970.4
chr3:184726103|184737771	ENSG00000272970.4
chr3:184727400|184734100	ENSG00000272970.4
chr3:184824545|184826231	ENSG00000156931.16
chr3:185179940|185180716	ENSG00000223358.5
chr3:185218136|185235462	ENSG00000113790.11
chr3:185590114|185598545	ENSG00000163904.13
chr3:185722464|185724604	ENSG00000163915.7
chr3:185922011|185926734	ENSG00000136527.19
chr3:185971615|185975356	ENSG00000171658.8
chr3:186455988|186457061	ENSG00000224406.6
chr3:186554898|186558572	ENSG00000113838.13
chr3:186581995|186583976	ENSG00000283149.1
chr3:186582716|186584589	ENSG00000283149.1
chr3:186582716|186583976	ENSG00000283149.1
chr3:186615685|186618637	ENSG00000145192.13
chr3:186722437|186732674	ENSG00000113889.14
chr3:187726731|187731930	ENSG00000113916.18
chr3:189864232|189868716	ENSG00000073282.14
chr3:189974558|189986877	ENSG00000090530.10
chr3:190128929|190143501	ENSG00000225764.3
